,model,language_exposure,kdims,isoscore,checkpoint
174,B-GPT_en_pl_simultaneous,simultaneous,109.84725536383688,0.14191297961386815,64900
175,B-GPT_en_pl_simultaneous,simultaneous,110.05886800988544,0.1421888761536968,65000
176,B-GPT_en_pl_simultaneous,simultaneous,111.8793630103528,0.1445624028818159,66000
177,B-GPT_en_pl_simultaneous,simultaneous,113.43047506208632,0.1465847132491347,67000
178,B-GPT_en_pl_simultaneous,simultaneous,114.84822444734,0.1484331479104824,68000
179,B-GPT_en_pl_simultaneous,simultaneous,116.14624132905824,0.150125477612853,69000
180,B-GPT_en_pl_simultaneous,simultaneous,117.34451311573856,0.1516877615589812,70000
181,B-GPT_en_pl_simultaneous,simultaneous,126.4422555035208,0.16354922490680676,80000
182,B-GPT_en_pl_simultaneous,simultaneous,132.35663515309923,0.17126028051251532,90000
183,B-GPT_en_pl_simultaneous,simultaneous,136.29270374786904,0.17639205182251505,100000
184,B-GPT_en_pl_simultaneous,simultaneous,138.77346804268706,0.1796264250882491,110000
185,B-GPT_en_pl_sequential,sequential,756.6961695756008,0.9852622810633649,0
186,B-GPT_en_pl_sequential,sequential,90.68369000887618,0.11692788788640963,10000
187,B-GPT_en_pl_sequential,sequential,80.53027680312859,0.10369006102102815,20000
188,B-GPT_en_pl_sequential,sequential,80.81332482067178,0.10405909363842474,30000
189,B-GPT_en_pl_sequential,sequential,81.42167506424964,0.10485224910593173,40000
190,B-GPT_en_pl_sequential,sequential,81.89734456585519,0.10547241794765996,50000
191,B-GPT_en_pl_sequential,sequential,82.42308396835317,0.10615786697308105,64000
192,B-GPT_en_pl_sequential,sequential,82.58946554909262,0.10637479211094215,64010
193,B-GPT_en_pl_sequential,sequential,82.76721447074154,0.10660653777150135,64020
194,B-GPT_en_pl_sequential,sequential,82.95619041783326,0.10685292101412419,64030
195,B-GPT_en_pl_sequential,sequential,83.10256866632845,0.1070437661881727,64040
196,B-GPT_en_pl_sequential,sequential,83.2311731126057,0.10721143821721735,64050
197,B-GPT_en_pl_sequential,sequential,83.35379101724962,0.10737130510723548,64060
198,B-GPT_en_pl_sequential,sequential,83.47060033679405,0.10752359887456851,64070
199,B-GPT_en_pl_sequential,sequential,83.57473815369737,0.10765937177796267,64080
200,B-GPT_en_pl_sequential,sequential,83.66174287968042,0.10777280688354683,64090
201,B-GPT_en_pl_sequential,sequential,83.7364385427933,0.10787019366726636,64100
202,B-GPT_en_pl_sequential,sequential,83.80832587034992,0.10796391899654487,64110
203,B-GPT_en_pl_sequential,sequential,83.87906486500097,0.10805614715123986,64120
204,B-GPT_en_pl_sequential,sequential,83.94675760009638,0.10814440365071236,64130
205,B-GPT_en_pl_sequential,sequential,84.01458239571296,0.10823283232817858,64140
206,B-GPT_en_pl_sequential,sequential,84.07938367379475,0.10831731900103618,64150
207,B-GPT_en_pl_sequential,sequential,84.14089115768608,0.10839751128772632,64160
208,B-GPT_en_pl_sequential,sequential,84.20009484784003,0.10847469993199484,64170
209,B-GPT_en_pl_sequential,sequential,84.25874586583637,0.10855116801282448,64180
210,B-GPT_en_pl_sequential,sequential,84.31549383696837,0.10862515493737727,64190
211,B-GPT_en_pl_sequential,sequential,84.36897951136713,0.10869488854154777,64200
212,B-GPT_en_pl_sequential,sequential,84.81417157551131,0.10927532148045804,64300
213,B-GPT_en_pl_sequential,sequential,85.1704365449918,0.10973981296609102,64400
214,B-GPT_en_pl_sequential,sequential,85.47495999935937,0.11013684484922995,64500
215,B-GPT_en_pl_sequential,sequential,85.75362548957708,0.11050016361092187,64600
216,B-GPT_en_pl_sequential,sequential,86.01277686722223,0.11083804024409678,64700
217,B-GPT_en_pl_sequential,sequential,86.25351677916939,0.11115191235876061,64800
218,B-GPT_en_pl_sequential,sequential,86.48398489638538,0.11145239230297964,64900
219,B-GPT_en_pl_sequential,sequential,86.70272488103261,0.11173758133120287,65000
220,B-GPT_en_pl_sequential,sequential,88.42816145565651,0.11398717269316364,66000
221,B-GPT_en_pl_sequential,sequential,89.67229178434683,0.11560924613343784,67000
222,B-GPT_en_pl_sequential,sequential,90.63145964285631,0.11685979092940849,68000
223,B-GPT_en_pl_sequential,sequential,91.40257360546276,0.11786515463554467,69000
224,B-GPT_en_pl_sequential,sequential,92.02525180443861,0.11867699061856403,70000
225,B-GPT_en_pl_sequential,sequential,95.99627082332636,0.12385432962624035,80000
226,B-GPT_en_pl_sequential,sequential,98.55763431763488,0.12719378659404806,90000
227,B-GPT_en_pl_sequential,sequential,100.20370139378035,0.1293398975147071,100000
228,B-GPT_en_pl_sequential,sequential,101.24625370322018,0.13069915737056084,110000
229,B-GPT_en_pl_sequential,sequential,101.75917063230442,0.1313678886992235,120000
230,B-GPT_en_pl_sequential,sequential,101.87301510685894,0.1315163169580951,128000
